Mon Aug  9 17:09:33 2021, 0, 1050, 0, 6, 3630, 0, 7, 450, 0, 0, 0
Mon Aug  9 17:10:33 2021, 0, 1050, 0, 6, 3630, 0, 7, 450, 0, 0, 0
Mon Aug  9 17:11:34 2021, 0, 1050, 0, 6, 3630, 0, 7, 450, 0, 0, 0
Mon Aug  9 17:12:34 2021, 0, 1050, 0, 6, 3630, 0, 7, 450, 0, 0, 0
Mon Aug  9 17:13:35 2021, 0, 1050, 0, 6, 3630, 0, 7, 450, 0, 0, 0
Mon Aug  9 17:14:35 2021, 0, 1050, 0, 6, 3630, 0, 7, 450, 0, 0, 0
Mon Aug  9 17:15:36 2021, 0, 1050, 0, 6, 3630, 0, 7, 450, 0, 0, 0
Mon Aug  9 17:16:36 2021, 0, 1050, 0, 6, 3630, 0, 7, 450, 0, 0, 0
Mon Aug  9 17:17:37 2021, 0, 1050, 0, 6, 3630, 0, 7, 450, 0, 0, 0
Mon Aug  9 17:18:37 2021, 0, 1050, 0, 6, 3630, 0, 7, 450, 0, 0, 0
Mon Aug  9 17:19:38 2021, 0, 1050, 0, 6, 3630, 0, 7, 450, 0, 0, 0
Mon Aug  9 17:20:38 2021, 0, 1050, 0, 6, 3630, 0, 7, 450, 0, 0, 0
Mon Aug  9 17:21:39 2021, 0, 1050, 0, 6, 3630, 0, 7, 450, 0, 0, 0
Mon Aug  9 17:22:39 2021, 0, 1050, 0, 6, 3630, 0, 7, 450, 0, 0, 0
Mon Aug  9 17:23:40 2021, 0, 1050, 0, 6, 3630, 0, 7, 450, 0, 0, 0
Mon Aug  9 17:24:40 2021, 0, 1050, 0, 6, 3630, 0, 7, 450, 0, 0, 0
Mon Aug  9 17:25:41 2021, 0, 1050, 0, 6, 3630, 0, 7, 450, 0, 0, 0
Mon Aug  9 17:26:41 2021, 0, 1050, 0, 6, 3630, 0, 7, 450, 0, 0, 0
Mon Aug  9 17:27:42 2021, 0, 1050, 0, 6, 3630, 0, 7, 450, 0, 0, 0
Mon Aug  9 17:28:42 2021, 0, 1050, 0, 6, 3630, 0, 7, 450, 0, 0, 0
Mon Aug  9 17:29:43 2021, 0, 1050, 0, 6, 3630, 0, 7, 450, 0, 0, 0
Mon Aug  9 17:30:43 2021, 0, 1050, 0, 6, 3630, 0, 7, 450, 0, 0, 0
Mon Aug  9 17:31:44 2021, 0, 1050, 0, 6, 3630, 0, 7, 450, 0, 0, 0
Mon Aug  9 17:32:44 2021, 0, 1050, 0, 6, 3630, 0, 7, 450, 0, 0, 0
Mon Aug  9 17:33:45 2021, 0, 1050, 0, 6, 3630, 0, 7, 450, 0, 0, 0
Mon Aug  9 17:34:45 2021, 0, 1050, 0, 6, 3630, 0, 7, 450, 0, 0, 0
Mon Aug  9 17:35:46 2021, 0, 1050, 0, 6, 3630, 0, 7, 600, 0, 4438.71, 1
Mon Aug  9 17:36:47 2021, 0, 1125, 4500, 6, 3630, 0, 7, 1050, 0, 4418.06, 1
Mon Aug  9 17:37:47 2021, 0, 1200, 4500, 6, 3630, 0, 7, 1050, 0, 4387.1, 1
Mon Aug  9 17:38:48 2021, 0, 1350, 4500, 6, 3630, 0, 7, 1050, 0, 4376.77, 1
